rank,model,tier,status,context,input_cost,output_cost,org_level,specialization,role,strength,price_tier
4,google/gemini-flash-1.5,high_perf,paid,1048K,0.075,0.3,senior,general,senior_developer,speed,economy
9,google/gemini-2.0-flash-exp,free_champion,free,1048K,0.0,0.0,junior,general,technical_validator,experimental,free
1,anthropic/claude-3.5-sonnet,premium,paid,200K,3.0,15.0,executive,reasoning,system_architect,balanced,premium
3,anthropic/claude-3.5-haiku,high_perf,paid,200K,0.8,4.0,senior,reasoning,senior_developer,speed,value
22,anthropic/claude-3-haiku,supporting,paid,200K,0.25,1.25,junior,general,technical_validator,legacy,value
11,deepseek/deepseek-r1-distill-llama-70b:free,free_champion,free,131K,0.0,0.0,junior,reasoning,code_reviewer,reasoning,free
18,meta-llama/llama-3.2-3b-instruct:free,free_tier,free,131K,0.0,0.0,junior,general,technical_validator,lightweight,free
17,meta-llama/llama-3.2-11b-vision-instruct:free,free_tier,free,131K,0.0,0.0,junior,vision,technical_validator,vision,free
16,qwen/qwen2.5-vl-72b-instruct:free,free_tier,free,131K,0.0,0.0,junior,vision,technical_validator,vision,free
12,qwen/qwen-2.5-coder-32b-instruct:free,free_champion,free,131K,0.0,0.0,junior,coding,code_reviewer,coding,free
13,meta-llama/llama-3.3-70b-instruct:free,free_tier,free,131K,0.0,0.0,junior,general,technical_validator,efficient,free
10,meta-llama/llama-3.1-405b-instruct:free,free_champion,free,131K,0.0,0.0,junior,general,technical_validator,general,free
7,qwen/qwen-2.5-coder-32b-instruct,open_source,paid,131K,0.2,0.8,senior,coding,senior_developer,coding,economy
2,openai/gpt-4o,premium,paid,128K,2.5,10.0,executive,general,lead_architect,software,premium
8,mistralai/mistral-large-2411,open_source,paid,128K,2.0,6.0,senior,general,senior_developer,european,value
6,openai/gpt-4o-mini,open_source,paid,128K,0.15,0.6,senior,general,senior_developer,balanced,economy
5,deepseek/deepseek-r1,high_perf,paid,128K,0.4,2.0,senior,reasoning,security_analyst,reasoning,value
23,cohere/command-r,supporting,paid,128K,0.5,1.5,senior,general,senior_developer,enterprise,value
24,perplexity/llama-3.1-sonar-large-128k-online,supporting,paid,127K,1.0,1.0,senior,general,senior_developer,search,value
15,qwen/qwq-32b-preview:free,free_tier,free,32K,0.0,0.0,junior,reasoning,code_reviewer,reasoning,free
20,huggingface/zephyr-7b-beta:free,supporting,free,32K,0.0,0.0,junior,conversation,technical_validator,community,free
14,microsoft/phi-4:free,free_tier,free,16K,0.0,0.0,junior,debugging,code_reviewer,debugging,free
21,openai/gpt-3.5-turbo,supporting,paid,16K,0.5,1.5,junior,conversation,technical_validator,legacy,value
19,google/gemma-2-9b-it:free,free_tier,free,8K,0.0,0.0,junior,general,technical_validator,compact,free
